"Ne"	"alpha"	"l"	"gamma_2"	"v"	"P_1"	"P_2"	"frac"
"224"	1000	2	50	80	0.912030093370688	6.73904152382898	0.00812518218877093	0.0012042361694612
"225"	1000	2	50	100	0.911965989305474	6.73856785529494	0.00650488243635711	0.000964390257790611
"226"	1000	3	10	20	0.940363919672344	18.8877142298123	0.0598911346687663	0.00316088146848558
"227"	1000	3	10	40	0.933875731454198	18.7573954857922	0.0332035359348873	0.0017670291349677
"228"	1000	3	10	60	0.931622039926408	18.7121288813973	0.0228901340298398	0.00122178333584776
"229"	1000	3	10	80	0.930478400953597	18.6891582785821	0.0174547330575697	0.000933078213929428
"230"	1000	3	10	100	0.92978688680623	18.6752688456422	0.0141026807754542	0.000754582932632051
"231"	1000	3	20	20	0.924405094742717	18.5671726624376	0.0759182130375019	0.00407219025775237
"232"	1000	3	20	40	0.920509429110356	18.4889261265384	0.0399152699162305	0.00215422373488867
"233"	1000	3	20	60	0.919184784488338	18.4623199280728	0.0270536165852475	0.00146319811863305
"234"	1000	3	20	80	0.918517606272196	18.4489192953782	0.020457720347619	0.00110765622090015
"235"	1000	3	20	100	0.918115754442558	18.4408478856163	0.0164468903757137	0.000891078057500968
"236"	1000	3	30	20	0.919205661098451	18.4627392459961	0.0811398838595796	0.00437556151500925
"237"	1000	3	30	40	0.91646250946589	18.4076415725944	0.0419473837648326	0.00227362158929694
"238"	1000	3	30	60	0.915535923040592	18.3890305867365	0.0282751056075193	0.00153524658165787
"239"	1000	3	30	80	0.915070355224597	18.3796794071781	0.0213232189501197	0.00115880745105933
"240"	1000	3	30	100	0.914790290390295	18.3740541546078	0.0171148276857983	0.000930600317047594
"241"	1000	3	40	20	0.916662712179807	18.4116627515969	0.0836937085795407	0.0045251200624193
"242"	1000	3	40	40	0.914551108240793	18.3692500527127	0.0429071717618753	0.00233037178852897
"243"	1000	3	40	60	0.91384019529389	18.3549709844685	0.0288427656453202	0.00156892177202033
"244"	1000	3	40	80	0.913483423437585	18.3478050301755	0.0217216486626523	0.00118248276302491
"245"	1000	3	40	100	0.913268939822681	18.3434970116089	0.0174203991157875	0.00094877607289994
