"alpha.all"	"nloci.all"	"C.all"	"gamma_0.all"	"gamma_1.all"	"type.all"	"sig.all"	"lambda.all"	"epsilon.all"	"lv_bim"	"lv_oct"	"lv_squ"	"lv_sep"
"41"	0.457518254555119	1	0.139454555180017	1	1	1	10	0.001	1e-04	0.122464128238223	0.122464128238223	9.99900009999e-05	0.122464128238223
"42"	4.44433348260911	3	0.0244955849402187	1	1	1	10	0.001	1e-04	0.00819744152751028	0.00819744152751028	0.00819744152751028	9.99900009999e-05
"43"	1.88499024086592	6	0.0636313839815557	1	1	1	10	0.001	1e-04	0.0504461437507602	0.0504461437507602	0.0407866372083043	0.0309285848044484
"44"	1.21356836976755	5	0.258686761781739	1	1	1	10	0.001	1e-04	0.134432992470502	0.134432992470502	0.134432992470502	0.134432992470502
"45"	0.201946962991363	1	0.0778525018111762	1	1	1	10	0.001	1e-04	9.99900009999e-05	9.99900009999e-05	0.0723153401288094	0.0723153401288094
"46"	0.231769642131266	8	0.0237450155891531	1	1	1	10	0.001	1e-04	0.0118308626986998	0.0118308626986998	0.0060000361556598	0.00305874233884536
"47"	6.40916815519365	8	0.0132219079029536	1	1	1	10	0.001	1e-04	0.00339391906251349	0.00339391906251349	0.00503275868579849	0.00829432128710752
"48"	2.05305228054588	5	0.41873656993074	1	1	1	10	0.001	1e-04	0.0773608172518103	0.0773608172518103	0.0773608172518103	0.0773608172518103
"49"	5.3160359983721	1	0.0754473820281406	1	1	1	10	0.001	1e-04	9.99900009999e-05	9.99900009999e-05	0.0702408683155197	9.99900009999e-05
"50"	2.65361871833765	1	0.00767896935995862	1	1	1	10	0.001	1e-04	0.00771892408600177	0.00771892408600177	0.00771892408600177	9.99900009999e-05
"51"	0.455022678252028	8	0.205153081185165	1	1	1	10	0.001	1e-04	0.113727133163174	0.113727133163174	0.0715228298192656	0.0715228298192656
"52"	0.126714633441037	6	0.0483323425985873	1	1	1	10	0.001	1e-04	0.0236912747674872	0.0236912747674872	0.0313095869838765	0.0313095869838765
"53"	0.121180050369149	5	0.118619090314479	1	1	1	10	0.001	1e-04	0.0453894739351805	0.0453894739351805	0.0867540478565256	0.106120554607776
