Ne	alpha	l	Q	u01	u10	v	P_0	P_1	frac
100	0	6	1.4	5e-10	1.5e-09	0.041331306	0.945301251	0.054698749	0.054698749
100	0	6	1.6	1e-09	1e-09	0.081095836	0.885148967	0.114851033	0.114851033
100	0	6	1.6	1.5e-09	5e-10	0.121676406	0.837042653	0.162957347	0.162957347
100	0	6	1.6	5e-10	1.5e-09	0.040576202	0.939035978	0.060964022	0.060964022
100	0	6	1.8	1e-09	1e-09	0.079536972	0.874763174	0.125236826	0.125236826
100	0	6	1.8	1.5e-09	5e-10	0.119356548	0.823152456	0.176847544	0.176847544
100	0	6	1.8	5e-10	1.5e-09	0.039796011	0.933155445	0.066844555	0.066844555
100	0	6	2	1e-09	1e-09	0.077943885	0.865135895	0.134864105	0.134864105
100	0	6	2	1.5e-09	5e-10	0.116992697	0.810382363	0.189617637	0.189617637
100	0	6	2	5e-10	1.5e-09	0.038995666	0.927651244	0.072348756	0.072348756
100	0	7	0.2	1e-09	1e-09	0.09003246	0.982312007	0.017687993	0.017687993
100	0	7	0.2	1.5e-09	5e-10	0.135071608	0.973696256	0.026303744	0.026303744
100	0	7	0.2	5e-10	1.5e-09	0.045009627	0.991078386	0.008921614	0.008921614
100	0	7	0.4	1e-09	1e-09	0.089276084	0.965520833	0.034479167	0.034479167
100	0	7	0.4	1.5e-09	5e-10	0.133938891	0.949148824	0.050851176	0.050851176
100	0	7	0.4	5e-10	1.5e-09	0.04463374	0.98245966	0.01754034	0.01754034
100	0	7	0.6	1e-09	1e-09	0.088391005	0.94963641	0.05036359	0.05036359
100	0	7	0.6	1.5e-09	5e-10	0.132601131	0.926302726	0.073697274	0.073697274
100	0	7	0.6	5e-10	1.5e-09	0.044199019	0.974165699	0.025834301	0.025834301
100	0	7	0.8	1e-09	1e-09	0.087398553	0.934650331	0.065349669	0.065349669
100	0	7	0.8	1.5e-09	5e-10	0.131096672	0.905077845	0.094922155	0.094922155
100	0	7	0.8	5e-10	1.5e-09	0.043713621	0.966210744	0.033789256	0.033789256
100	0	7	1	1e-09	1e-09	0.086316639	0.920541916	0.079458084	0.079458084
100	0	7	1	1.5e-09	5e-10	0.129456784	0.885381375	0.114618625	0.114618625
100	0	7	1	5e-10	1.5e-09	0.043184658	0.958603055	0.041396945	0.041396945
100	0	7	1.2	1e-09	1e-09	0.085160376	0.90728257	0.09271743	0.09271743
100	0	7	1.2	1.5e-09	5e-10	0.127707144	0.867115749	0.132884251	0.132884251
100	0	7	1.2	5e-10	1.5e-09	0.042618353	0.951346229	0.048653771	0.048653771
100	0	7	1.4	1e-09	1e-09	0.083942581	0.894838881	0.105161119	0.105161119
100	0	7	1.4	1.5e-09	5e-10	0.125868969	0.850183577	0.149816423	0.149816423
100	0	7	1.4	5e-10	1.5e-09	0.042020164	0.944440252	0.055559748	0.055559748
100	0	7	1.6	1e-09	1e-09	0.082674162	0.883174819	0.116825181	0.116825181
